Airline,Route,sentiment_score
Qatar Airways,Amsterdam to Bangkok via Doha,0.9184
Qatar Airways,Amsterdam to Bangkok via Doha,0.9235
Qatar Airways,Amsterdam to Bangkok via Doha,0.9801
Emirates,Amsterdam to Bangkok via Dubai,-0.0129
Emirates,Amsterdam to Bangkok via Dubai,0.9552
Cathay Pacific Airways,Amsterdam to Bangkok via Hong Kong,-0.8592
Turkish Airlines,Amsterdam to Bangkok via Istanbul,0.9402
Turkish Airlines,Amsterdam to Bangkok via Istanbul,0.8442
Turkish Airlines,Amsterdam to Bangkok via Istanbul,-0.6607
Turkish Airlines,Amsterdam to Bangkok via Istanbul,-0.8441
Air France,Amsterdam to Bangkok via Paris,0.3773
Air France,Amsterdam to Bangkok via Paris,-0.0676
Qatar Airways,Amsterdam to Bangkok via doha,-0.7684
Turkish Airlines,Amsterdam to Bishkek via Istanbul,-0.8122
Singapore Airlines,Amsterdam to Brisbane via Singapore,-0.6808
Singapore Airlines,Amsterdam to Brisbane via Singapore,-0.7382
Singapore Airlines,Amsterdam to Brisbane via Singapore,0.9428
Air France,Amsterdam to Cairo via Paris,0.9827
Qatar Airways,Amsterdam to Cape Town via Doha,-0.5809
Emirates,Amsterdam to Cape Town via Dubai,-0.9144
Emirates,Amsterdam to Cebu via Dubai,-0.4215
Qatar Airways,Amsterdam to Doha,0.8518
Qatar Airways,Amsterdam to Doha,-0.6548
Turkish Airlines,Amsterdam to Doha via Istanbul,0.7886
Emirates,Amsterdam to Dubai,0.802
Emirates,Amsterdam to Dubai,0.7178
Emirates,Amsterdam to Dubai,-0.6115
Emirates,Amsterdam to Dubai,0.4278
Emirates,Amsterdam to Dubai,0.9912
Qatar Airways,Amsterdam to Dubai via Doha,0.9787
Emirates,Amsterdam to Durban via Dubai,0.9808
Turkish Airlines,Amsterdam to Gazipasa via Istanbul,0.7264
Cathay Pacific Airways,Amsterdam to Hanoi via Hong Kong,-0.5985
Turkish Airlines,Amsterdam to Havana via Istanbul,0.6908
Cathay Pacific Airways,Amsterdam to Hong Kong,0.9816
Turkish Airlines,Amsterdam to Istanbul,0.9888
Turkish Airlines,Amsterdam to Istanbul,-0.7776
Turkish Airlines,Amsterdam to Istanbul,-0.0038
Turkish Airlines,Amsterdam to Istanbul,0.966
Turkish Airlines,Amsterdam to Istanbul,0.9755
Turkish Airlines,Amsterdam to Istanbul,0.9436
Turkish Airlines,Amsterdam to Istanbul,0.9831
Air France,Amsterdam to Lima via Paris,0.9217
Emirates,Amsterdam to Male via Dubai,-0.204
EVA Air,Amsterdam to Manila,0.9587
Turkish Airlines,Amsterdam to Manila via Istanbul,0.8708
Air France,Amsterdam to Marseille,0.9632
Emirates,Amsterdam to Melbourne via Dubai,0.8019
Cathay Pacific Airways,Amsterdam to Melbourne via Hong Kong,0.4019
Emirates,Amsterdam to Mumbai via Dubai,0.9266
Emirates,Amsterdam to Muscat via Dubai,0.972
Air France,Amsterdam to Nantes,-0.8274
Turkish Airlines,Amsterdam to New York via Istanbul,-0.9675
Air France,Amsterdam to Paris,-0.765
Air France,Amsterdam to Paris,0.91
Qatar Airways,Amsterdam to Perth via Doha,-0.8537
Qatar Airways,Amsterdam to Phuket via Doha,0.9705
Qatar Airways,Amsterdam to Phuket via Doha,0.9299
Air France,Amsterdam to Rome,-0.4654
Korean Air,Amsterdam to Seoul,0.8445
Singapore Airlines,Amsterdam to Singapore,0.8921
Singapore Airlines,Amsterdam to Singapore,0.872
Singapore Airlines,Amsterdam to Singapore,0.9682
Singapore Airlines,Amsterdam to Singapore,0.9287
Singapore Airlines,Amsterdam to Singapore,0.945
Singapore Airlines,Amsterdam to Singapore,0.932
Singapore Airlines,Amsterdam to Singapore,0.6597
Singapore Airlines,Amsterdam to Singapore,0.9676
Turkish Airlines,Amsterdam to Skopje via Istanbul,-0.7908
Singapore Airlines,Amsterdam to Sydney via Singapore,0.8687
Turkish Airlines,Amsterdam to Tashkent via Istanbul,-0.8893
Emirates,Amsterdam to Tehran via Dubai,0.0772
Turkish Airlines,Amsterdam to Tehran via Istanbul,-0.7178
Emirates,Amsterdam to Tokyo Narita via Dubai,-0.9568
Cathay Pacific Airways,Amsterdam to Tokyo via Hong Kong,0.9849
Turkish Airlines,Ankara to Amsterdam via Istanbul,0.9726
Qatar Airways,Ankara to Auckland via Doha,0.994
Turkish Airlines,Ankara to Bangkok via Istanbul,0.9697
Turkish Airlines,Ankara to Dalaman,0.9295
Turkish Airlines,Ankara to Frankfurt,0.7191
Turkish Airlines,Ankara to Istanbul,-0.7506
Turkish Airlines,Ankara to Istanbul,0.296
Turkish Airlines,Ankara to Istanbul,-0.5788
Turkish Airlines,Ankara to Istanbul,-0.0772
Qatar Airways,Ankara to Melbourne via Doha,0.9001
Turkish Airlines,Ankara to New York,0.9811
Turkish Airlines,Antalia to Istanbul via Минск,0.0516
Turkish Airlines,Antalya to Birmingham,-0.5104
Turkish Airlines,Antalya to Istanbul,0.4404
Turkish Airlines,Antalya to Istanbul,-0.7072
Turkish Airlines,Antalya to Istanbul,-0.0018
Turkish Airlines,Antalya to Jakarta via Istanbul,-0.867
Turkish Airlines,Antalya to Kuala Lumpur via Istanbul,0.5927
Turkish Airlines,Antalya to London via Istanbul,0.9167
Turkish Airlines,Antalya to London via Istanbul,0.0034
Turkish Airlines,Antalya to Miami via Istanbul,-0.7444
Turkish Airlines,Antalya to Moscow,0.0258
Turkish Airlines,Antalya to Odessa via Istanbul,0.9287
Turkish Airlines,Antalya to Saint-Petersburg,-0.9796
Turkish Airlines,Antalya to Sydney via Istanbul / Bangkok,0.9444
Air France,Antanarivo to Zurich via Paris,-0.9894
Turkish Airlines,Antaya to Prague via Istanbul,-0.912
Qatar Airways,Athens to Bangkok via Doha,-0.6164
Turkish Airlines,Athens to Bogota via Istanbul,-0.9197
Turkish Airlines,Athens to Budapest via Istanbul,0.8694
Emirates,Athens to Christchurch via Dubai,-0.343
Qatar Airways,Athens to Doha,0.9574
Qatar Airways,Athens to Doha,0.9312
Qatar Airways,Athens to Doha,0.9607
Qatar Airways,Athens to Doha,0.933
Qatar Airways,Athens to Doha,-0.9487
Emirates,Athens to Dubai,-0.9424
Emirates,Athens to Dubai,0.8918
Qatar Airways,Athens to Dubai via Doha,-0.5528
Turkish Airlines,Athens to Dubai via Istanbul,-0.8822
Turkish Airlines,Athens to Havana via Istanbul,-0.9552
Turkish Airlines,Athens to Istanbul,-0.4404
Turkish Airlines,Athens to Istanbul,0.0428
Turkish Airlines,Athens to Istanbul,-0.97
Turkish Airlines,Athens to Istanbul,-0.7741
Turkish Airlines,Athens to Istanbul,0.3503
Turkish Airlines,Athens to Istanbul,-0.7469
Turkish Airlines,Athens to Istanbul,0.8703
Turkish Airlines,Athens to Istanbul via New York,-0.9798
Turkish Airlines,Athens to Kathmandu via Istanbul,-0.9092
Qatar Airways,Athens to Kolkata via Doha,0.9329
Turkish Airlines,Athens to Los Angeles via Istanbul,0.4215
Qatar Airways,Athens to Manila via Doha,-0.4497
Qatar Airways,Athens to Melbourne via Doha,0.9381
Qatar Airways,Athens to Melbourne via Doha,-0.7982
Turkish Airlines,Athens to New York via Istanbul,0.0408
Turkish Airlines,Athens to New York via Istanbul,0.969
Air France,Athens to New York via Paris,-0.5095
Emirates,Athens to Newark,-0.9296
Emirates,Athens to Newark,-0.8573
Emirates,Athens to Newark,-0.4562
Emirates,Athens to Newark,-0.6803
Emirates,Athens to Newark,-0.3818
Turkish Airlines,Athens to Panama via Istanbul,0.9722
Air France,Athens to Paris,-0.8427
Singapore Airlines,Athens to Penang via Rome,-0.5413
Emirates,Athens to Perth via Dubai,-0.8777
Turkish Airlines,Athens to San Francisco via Istanbul,0.7533
Qatar Airways,Athens to Shanghai via Doha,0.9451
Turkish Airlines,Athens to Singapore via Istanbul,-0.296
Qatar Airways,Athens to Sydney via Doha,-0.6678
Qatar Airways,Athens to Tehran via Doha,-0.4154
Qatar Airways,Athens to Tokyo via Doha,0.9723
Emirates,Athens to Tokyo via Dubai,0.816
Turkish Airlines,Atlanta to Addis Ababa via Istanbul,-0.9286
Turkish Airlines,Atlanta to Addis Ababa via Istanbul,0.4767
Turkish Airlines,Atlanta to Amman via Istanbul,-0.5423
Qatar Airways,Atlanta to Bangalore via Doha,0.0
Turkish Airlines,Atlanta to Bangkok,0.9559
Qatar Airways,Atlanta to Bangkok via Doha,0.9013
Turkish Airlines,Atlanta to Cairo via Istanbul,-0.8992
Qatar Airways,Atlanta to Chennai return via Doha,-0.4939
Qatar Airways,Atlanta to Chennai via Doha,0.8587
Turkish Airlines,Atlanta to Doha via Istanbul,0.2244
Turkish Airlines,Atlanta to Dubai via Istanbul,-0.9766
Turkish Airlines,Atlanta to Dubai via Istanbul,-0.9562
Emirates,Atlanta to Dubai via New York JFK,-0.2702
Air France,Atlanta to Dubai via Paris,-0.684
Turkish Airlines,Atlanta to Instanbul via Bucharest,-0.8092
Turkish Airlines,Atlanta to Istanbul,-0.967
Turkish Airlines,Atlanta to Istanbul,-0.8481
Turkish Airlines,Atlanta to Istanbul,-0.8824
Turkish Airlines,Atlanta to Istanbul,-0.8118
Turkish Airlines,Atlanta to Istanbul,-0.5436
Turkish Airlines,Atlanta to Istanbul,0.8718
Qatar Airways,Atlanta to Karachi via Doha,0.6331
Turkish Airlines,Atlanta to Karachi via Istanbul,-0.25
Qatar Airways,Atlanta to Kuala Lumpur via Doha,0.3612
Qatar Airways,Atlanta to Lagos via Doha,0.9618
Air France,Atlanta to Male via Paris,-0.7684
Korean Air,Atlanta to Manila via Incheon,0.7783
Turkish Airlines,Atlanta to Nairobi via Istanbul,0.9641
Air France,Atlanta to Paris,-0.3162
Air France,Atlanta to Paris,-0.8265
Air France,Atlanta to Paris,-0.9772
Air France,Atlanta to Paris,-0.8688
Air France,Atlanta to Paris,0.8853
Air France,Atlanta to Paris,0.9463
Air France,Atlanta to Paris CDG,0.8744
Air France,Atlanta to Paris via Lisbon,-0.5423
Air France,Atlanta to Paris via Marseille,-0.9291
Turkish Airlines,Atlanta to Thessaloniki via Istanbul,0.8307
Qatar Airways,Auckland to Athens via Doha,0.8689
Cathay Pacific Airways,Auckland to Barcelona via Hong Kong,-0.7625
Emirates,Auckland to Birmingham via Brisbane / Dubai,0.989
Qatar Airways,Auckland to Budapest via Doha,0.6808
Qatar Airways,Auckland to Cape Town via Doha,0.9767
Emirates,Auckland to Cape Town via Dubai,-0.3567
Korean Air,Auckland to Cebu via Incheon,0.4588
Singapore Airlines,Auckland to Delhi,-0.2083
Cathay Pacific Airways,Auckland to Delhi via Hong Kong,-0.536
Emirates,Auckland to Denpasar,-0.8831
Qatar Airways,Auckland to Doha,0.2263
Qatar Airways,Auckland to Doha,0.9714
Qatar Airways,Auckland to Doha,0.9922
Qatar Airways,Auckland to Doha,0.9542
Qatar Airways,Auckland to Doha,0.9766
Qatar Airways,Auckland to Doha,-0.9436
Emirates,Auckland to Dubai,-0.8979
Emirates,Auckland to Dubai,0.015
Emirates,Auckland to Dubai,-0.9828
Cathay Pacific Airways,Auckland to Dubai via Hong Kong,-0.2815
Qatar Airways,Auckland to Dublin via Doha,0.9787
Cathay Pacific Airways,Auckland to Dublin via Hong Kong,-0.9768
Cathay Pacific Airways,Auckland to Gatwick via Hong Kong,0.9051
Qatar Airways,Auckland to Helsinki via Doha,0.9446
Cathay Pacific Airways,Auckland to Hing Kong,0.9796
Cathay Pacific Airways,Auckland to Hong Kong,0.8803
Cathay Pacific Airways,Auckland to Hong Kong,0.9698
Cathay Pacific Airways,Auckland to Hong Kong,0.8276
Cathay Pacific Airways,Auckland to Hong Kong,0.6369
Cathay Pacific Airways,Auckland to Hong Kong via London,0.8193
Emirates,Auckland to Istanbul via Dubai,-0.362
Qatar Airways,Auckland to Johannesburg via Doha,0.9962
Qatar Airways,Auckland to London via Doha,0.9585
Qatar Airways,Auckland to London via Doha,0.9828
Emirates,Auckland to London via Dubai,0.841
Emirates,Auckland to London via Dubai,0.9912
Cathay Pacific Airways,Auckland to London via Hong Kong,0.9627
Cathay Pacific Airways,Auckland to London via Hong Kong,0.7473
Cathay Pacific Airways,Auckland to London via Hong Kong,-0.9895
Cathay Pacific Airways,Auckland to London via Hong Kong,0.9
Cathay Pacific Airways,Auckland to London via Hong Kong,-0.9668
Korean Air,Auckland to London via Seoul,0.9809
Korean Air,Auckland to London via Seoul,0.9783
Singapore Airlines,Auckland to London via Singapore,0.986
Emirates,Auckland to Manchester UK via Dubai,0.3105
Qatar Airways,Auckland to Manchester via Doha,-0.6815
Emirates,Auckland to Manchester via Dubai,-0.9497
Emirates,Auckland to Manchester via Dubai,-0.96
Emirates,Auckland to Manchester via Dubai,0.9291
Emirates,Auckland to Melbourne,0.5951
Cathay Pacific Airways,Auckland to New York via Hong Kong,0.728
Korean Air,Auckland to Osaka via Seoul,0.9545
Korean Air,Auckland to Seoul,0.7862
Korean Air,Auckland to Seoul,0.9632
Singapore Airlines,Auckland to Singapore,0.9778
Singapore Airlines,Auckland to Singapore,-0.9784
Singapore Airlines,Auckland to Singapore,0.9673
Singapore Airlines,Auckland to Singapore,-0.6858
Singapore Airlines,Auckland to Singapore,0.9559
Singapore Airlines,Auckland to Singapore,0.9493
Singapore Airlines,Auckland to Singapore,0.9751
Singapore Airlines,Auckland to Singaporec,0.891
Qatar Airways,Auckland to St Petersburg via Doha,0.5047
Emirates,Auckland to Sydney,0.8519
Emirates,Auckland to Sydney,0.9545
Qatar Airways,Auckland to Warsaw via Doha,0.7287
Emirates,Auckland to Wien via Dubai,-0.6439
Singapore Airlines,Auckland to Zurich via Singapore,0.9169
Singapore Airlines,Auckland to Zurich via Singapore,0.0679
Cathay Pacific Airways,BA to CEB via HKG,-0.2357
Cathay Pacific Airways,BAH to MNL via HKG,0.9898
Cathay Pacific Airways,BAH to MNL via HKG,0.9724
Qatar Airways,BCN to ADL via DOH,0.9824
Qatar Airways,BCN to BKK via DOH,0.9589
Qatar Airways,BCN to BKK via DOH,-0.9348
Singapore Airlines,BCN to GRU,-0.9967
Turkish Airlines,BCN to JFK via IST,0.9963
Qatar Airways,BCN to MNL via DOH,0.9726
Emirates,BCN to MNL via DXB,0.9681
Emirates,BCN to SYD via DXB,-0.9273
Qatar Airways,BEY to BKK via DOH,0.8074
Turkish Airlines,BEY to MLA via IST,-0.0541
Air France,BHM to DXB via ATL & CDG,0.5451
Emirates,BHX to ADL via DXB,0.6386
Emirates,BHX to BKK via DXB,0.9947
Emirates,BHX to BKK via DXB,-0.8885
Turkish Airlines,BHX to BKK via IST,-0.9887
Emirates,BHX to CMB via DXB,0.9837
Qatar Airways,BHX to DWC via DOH,-0.8689
Emirates,BHX to DXB,-0.9513
Turkish Airlines,BJV to IST,0.8795
Turkish Airlines,BJV to SAW,0.9846
Singapore Airlines,BK to SIN,-0.6808
Emirates,BKK to BHX via DXB,0.9822
Emirates,BKK to BHX via DXB,0.9495
Air France,BKK to CDG,0.9361
Qatar Airways,BKK to CPH via DOH,0.9933
Qatar Airways,BKK to DOH,0.304
Qatar Airways,BKK to DOH,0.1779
Emirates,BKK to DXB,0.9081
Qatar Airways,BKK to EDI via DOH,0.9242
Qatar Airways,BKK to FRA via DOH,0.9662
Emirates,BKK to HKG,0.963
Emirates,BKK to HKG,-0.8611
Cathay Pacific Airways,BKK to HKG,-0.6607
Cathay Pacific Airways,BKK to HKG,0.986
Emirates,BKK to HKG,-0.956
Emirates,BKK to HKG,0.8747
Cathay Pacific Airways,BKK to HKG,0.9484
Japan Airlines,BKK to HND,-0.9735
Turkish Airlines,BKK to IST,0.5719
Turkish Airlines,BKK to JFK via IST,0.9785
Emirates,BKK to LGW via DXB,0.9412
EVA Air,BKK to LHR,0.988
EVA Air,BKK to LHR,-0.7899
EVA Air,BKK to LHR,0.9903
EVA Air,BKK to LHR,0.8977
Air France,BKK to LHR via CDG,0.8766
Emirates,BKK to LHR via DXB,0.9559
Air France,BKK to MAN via CDG,0.7003
Qatar Airways,BKK to MAN via DOH,0.9836
Emirates,BKK to NCL via DXB,0.6901
Singapore Airlines,BKK to SIN,0.892
Cathay Pacific Airways,BKK to SIN,0.8516
Singapore Airlines,BKK to SIN,0.9441
Singapore Airlines,BKK to SIN,0.1186
Singapore Airlines,BKK to SIN,0.9874
Singapore Airlines,BKK to SIN,0.5699
Cathay Pacific Airways,BKK to YVR via HKG,0.9878
Cathay Pacific Airways,BKK to YVR via HKG,0.8638
Cathay Pacific Airways,BKK to YVR via HKG,0.9538
Turkish Airlines,BLQ to LAX via IST,0.8095
Turkish Airlines,BLQ to NRT via IST,0.9686
Turkish Airlines,BLQ to NRT via IST,0.9762
Emirates,BLR to SFO via DXB,0.9348
Emirates,BNE to ARN via DXB,-0.3204
Cathay Pacific Airways,BNE to HKG,0.9735
Singapore Airlines,BNE to LHR via SIN,0.9917
Singapore Airlines,BNE to PEK via PER,0.9812
Singapore Airlines,BNE to PEK via SiN,0.8217
EVA Air,BNE to SGN via TPE,0.9874
Singapore Airlines,BNE to SIN,0.8984
Singapore Airlines,BNE to SIN,0.9718
Korean Air,BNE to ULN via ICN,0.25
Turkish Airlines,BOG to AMS via IST,0.6805
Air France,BOG to CDG,0.9758
Air France,BOM to AMS via CDG,0.8018
Emirates,BOM to AMS via DXB,-0.9188
Qatar Airways,BOM to ATL via DOH,0.9432
Air France,BOM to CDG,0.8176
Qatar Airways,BOM to FCO via DOH,-0.9413
Emirates,BOM to LHR via DXB,-0.9542
All Nippon Airways,BOM to NRT,0.9843
Singapore Airlines,BOM to SIN,0.9438
Turkish Airlines,BOS to BOM via IST,0.9744
Air France,BOS to CDG,0.8913
Qatar Airways,BOS to HYD via DOH,-0.6369
Turkish Airlines,BOS to TLV via IST,0.9245
Turkish Airlines,BRU to DKR via IST,-0.9118
Qatar Airways,BRU to DXB via DOH,0.995
Turkish Airlines,BRU to JFK via IST,0.9839
Qatar Airways,BRU to NRT via DOH,0.9558
Qatar Airways,BRU to NRT via DOH,0.7429
Emirates,BRU to SYD via DXB,-0.9858
Turkish Airlines,BUD to KIX via IST,0.9107
Turkish Airlines,BXH toCPT via DUR/CPT,0.5095
Turkish Airlines,Baghdad to Austin via Istanbul / Houston,0.1117
Emirates,Baghdad to Sydney via Dubai,-0.7778
Turkish Airlines,Bahrain to Athens via Istanbul,0.9827
Emirates,Bahrain to Birmingham via Dubai,0.7478
Emirates,Bahrain to Delhi via Dubai,0.914
Emirates,Bahrain to Dubai,-0.9484
Turkish Airlines,Bahrain to Geneva via Istanbul,0.6412
Cathay Pacific Airways,Bahrain to Hong Kong via Dubai,0.9243
Turkish Airlines,Bahrain to Istanbul,-0.2957
Turkish Airlines,Bahrain to Istanbul,-0.7345
Turkish Airlines,Bahrain to Kiev via Istanbul,-0.6369
Emirates,Bahrain to London via Dubai,0.9872
Turkish Airlines,Bahrain to London via Istanbul,-0.8375
Emirates,Bahrain to Mogadishu via Dubai,-0.8881
Emirates,Bahrain to Nairobi via Dubai,0.9606
Emirates,Bahrain to Paris via Dubai,-0.223
Emirates,Bahrain to Paris via Dubai,-0.8345
Emirates,Bahrain to Singapore via Dubai,0.9451
Turkish Airlines,Bahrain to Tunis via Istanbul,0.8074
Turkish Airlines,Baku to Amsterdam via Istanbul,-0.6429
Turkish Airlines,Baku to Istanbul,0.8931
Turkish Airlines,Baku to Los Angeles via Istanbul,0.2263
Qatar Airways,Baku to Muscat via Doha,-0.9244
Turkish Airlines,Baku to Stuttgart via Istanbul,-0.9872
Qatar Airways,Baku to Tblisi,0.9814
Turkish Airlines,Baku to Tokyo via Istanbul,0.25
Korean Air,Bali Denpasar to Seoul Incheon,0.9706
Singapore Airlines,Bali Denpasar to Tokyo Narita via Singapore,0.7003
Emirates,Bali to Amsterdam via Dubai,0.9661
Turkish Airlines,Bali to Amsterdam via Istanbul,-0.957
Qatar Airways,Bali to Berlin via Doha,-0.8143
Emirates,Bali to Dubai,-0.9474
Emirates,Bali to Dubai,-0.4771
Cathay Pacific Airways,Bali to Gatwick via Hong Kong,0.947
Emirates,Bali to Glasgow via Dubai,0.9297
Emirates,Bali to London Gatwick via Dubai,-0.8714
Qatar Airways,Bali to London via Doha,-0.7269
Emirates,Bali to London via Dubia,-0.9304
